species,region,lifetime,endangered
African Elephant,Eastern Africa,60-70,Endangered
Bald Eagle,Northern America,20-30,Least Concern
Giant Panda,Eastern Asia,20-30,Endangered
Komodo Dragon,Southern Asia,20-30,Vulnerable
Red Kangaroo,Australia and New Zealand,8-12,Least Concern
Polar Bear,Northern Europe,20-25, vulnerable
Jaguar,South America,12-15,Near Threatened
Mountain Gorilla,Middle Africa,35-40,Endangered
Siberian Tiger,Eastern Asia,15-20,Endangered
Orangutan,South Eastern Asia,30-40,Endangered
Koala,Australia and New Zealand,10-12, Vulnerable
Cheetah,Southern Africa,10-12, Vulnerable
Indian Elephant,Southern Asia,60-70,Endangered
Snow Leopard,Central Asia,15-20,Near Threatened
Peregrine Falcon,Northern America,13-15,Least Concern
Wolves,Northern America,6-8,Least Concern
Giraffe,Southern Africa,25-30,Least Concern
Lion,Eastern Africa,12-16, Vulnerable
Giant Tortoise,Caribbean,100-200,Vulnerable
Crocodile,Southern Asia,50-70,Least Concern
Tibetan Antelope,Central Asia,15-20,Near Threatened
Humpback Whale,Western Africa,45-50,Least Concern
Dolphin,Western Europe,30-50,Least Concern
Meerkat,Southern Africa,6-8,Least Concern
Zebra,Eastern Africa,20-25,Least Concern
Pygmy Hippopotamus,Western Africa,25-30,Endangered
Black Rhinoceros,Eastern Africa,30-40,Endangered
Grey Wolf,Western Europe,6-8,Least Concern
Bison,Northern Europe,12-15,Near Threatened
Eurasian Brown Bear,Northern Europe,20-30,Least Concern
Red Fox,Western Europe,3-6,Least Concern
Ostrich,Eastern Africa,30-40,Least Concern
Chinchilla,South America,10-15,Near Threatened
Mountain Lion,Northern America,10-12,Least Concern
Harpy Eagle,Central America,25-30,Near Threatened
Moose,Northern America,15-20,Least Concern
Sloth,South America,20-25,Least Concern
Swan,Eastern Europe,10-15,Least Concern
Caiman,South America,35-40,Least Concern
Emperor Penguin,Antarctica,15-20,Least Concern
Bearded Vulture,Eastern Europe,20-30,Near Threatened
Sea Turtle,Western Africa,50-100,Endangered
Elephant Seal,Western Europe,20-25,Least Concern
Gray Whale,Northern America,50-70,Least Concern
Mandrill,Middle Africa,30-40,Near Threatened
Panda,South Eastern Asia,20-30,Endangered
Wild Boar,Western Europe,10-12,Least Concern
Binturong,Southern Asia,20-25,Near Threatened
Gibbon,South Eastern Asia,20-25,Endangered
Gnu,Eastern Africa,15-20,Least Concern
Ibex,Western Europe,15-20,Least Concern
Arctic Fox,Northern Europe,3-6,Least Concern
Bald Ibis,Middle Africa,10-20,Near Threatened
Coyote,Northern America,10-14,Least Concern
Kangaroo Rat,Australia and New Zealand,2-4,Least Concern
Pygmy Goat,Western Europe,10-12,Least Concern
Hippopotamus,Eastern Africa,40-50,Near Threatened
Bison,Northern America,10-15,Least Concern
Pufferfish,South America,5-10,Least Concern
Lynx,Northern Europe,12-15,Least Concern
Manta Ray,Western Africa,15-20,Near Threatened
Cuttlefish,South Eastern Asia,2-3,Least Concern
Turtle,South America,50-70,Least Concern
Leopard,South Eastern Asia,12-15,Near Threatened
Crocodile,Western Africa,30-40,Least Concern
Rhinoceros,Eastern Africa,30-40,Endangered
Golden Eagle,Eastern Europe,30-35,Least Concern
Wolverine,Northern Europe,8-12,Least Concern
Manatee,South America,40-60,Threatened
Llama,South America,15-20,Least Concern
Cougar,Northern America,10-15,Least Concern
Grizzly Bear,Northern America,20-25,Least Concern
Peafowl,South Eastern Asia,10-15,Least Concern
Secretary Bird,Southern Africa,25-30,Least Concern
Mole,Western Europe,3-5,Least Concern
Albatross,Western Europe,50-60,Least Concern
Bald Eagle,Northern America,20-30,Least Concern
European Hedgehog,Western Europe,3-5,Least Concern
Antelope,Eastern Africa,12-15,Least Concern
Killer Whale,South America,30-50,Least Concern
Beetle,Western Europe,1-2,Least Concern
Flying Fox,Western Asia,5-10,Near Threatened
Buffalo,Southern Africa,15-20,Least Concern
Ocelot,Central America,10-15,Near Threatened
Mole,Western Europe,2-3,Least Concern
Indian Star Tortoise,Southern Asia,50-55,Endangered
Lynx,South Eastern Asia,10-12,Near Threatened
Asian Elephant,Southern Asia,60-70,Endangered
Arctic Hare,Northern Europe,5-10,Least Concern
Griffon Vulture,Western Europe,20-25,Near Threatened
Otter,South America,10-12,Least Concern
Pygmy Hippopotamus,Western Africa,30-35,Endangered
Penguin,Antarctica,15-20,Least Concern
Tarsier,South Eastern Asia,10-12,Endangered
Jaguarundi,South America,12-15,Least Concern
Giant Salamander,Eastern Asia,50-55,Least Concern
Red Panda,Eastern Asia,8-10,Endangered
Mantis Shrimp,Southern Asia,6-11,Least Concern
Tapir,South America,25-30,Endangered
Pangolin,Southern Asia,20-25,Endangered
Mole Rat,Western Africa,3-4,Least Concern
Snowy Owl,Northern Europe,10-15,Least Concern
Macaw,South America,30-50,Near Threatened
Dromedary Camel,Northern Africa,40-50,Least Concern
Wallaby,Australia and New Zealand,10-15,Least Concern
Hawk,Northern America,15-20,Least Concern
Sifaka,Middle Africa,20-25,Endangered
Arctic Wolf,Northern Europe,10-15,Least Concern
Gaur,Southern Asia,20-25,Near Threatened
Brown Hyena,Eastern Africa,12-15,Near Threatened
Lemur,Middle Africa,15-20,Endangered
Warthog,Eastern Africa,15-20,Least Concern
Toucan,South America,10-20,Least Concern
Cheetah,Southern Africa,10-12,Vulnerable
African Grey Parrot,Middle Africa,50-60,Endangered
Asian Black Bear,Eastern Asia,25-30,Near Threatened
Red-footed Tortoise,South America,50-55,Least Concern
Tarantula,South America,15-25,Least Concern
Fossa,Middle Africa,15-20,Endangered
Moose,Northern America,15-20,Least Concern
Black-footed Ferret,Northern America,3-4,Endangered
Vervet Monkey,Eastern Africa,12-15,Least Concern
Aardvark,Southern Africa,10-14,Least Concern
Kookaburra,Australia and New Zealand,10-15,Least Concern
Spotted Hyena,Eastern Africa,20-25,Least Concern
Chimpanzee,Middle Africa,40-50,Endangered
Tasmanian Devil,Australia and New Zealand,5-6,Endangered
Wolverine,Northern Europe,8-12,Least Concern
Okapi,Middle Africa,20-30,Endangered
Caracal,Southern Africa,12-15,Least Concern
Lynx,Northern America,10-12,Least Concern
Gannet,Western Europe,10-15,Least Concern
Bat,South America,5-15,Least Concern
Marmot,Northern America,10-15,Least Concern
Bushbaby,Southern Africa,10-15,Least Concern
Geoffroyâ€™s Cat,South America,10-15,Near Threatened
Mandrill,Middle Africa,40-45,Near Threatened
Moose,Northern America,15-20,Least Concern
Woodpecker,Western Europe,10-20,Least Concern
Lynx,Central Asia,10-15,Near Threatened
Zebu,Northern Africa,18-20,Least Concern
Addax,Eastern Africa,10-12,Critically Endangered
Wildebeest,Eastern Africa,10-15,Least Concern
Fallow Deer,Western Europe,12-20,Least Concern
Kangaroo,Australia and New Zealand,6-8,Least Concern
Aye-Aye,Middle Africa,20-23,Endangered
Gibbon,South Eastern Asia,25-30,Endangered
Bald Ibis,Eastern Africa,10-20,Endangered
Vultures,South Eastern Asia,20-30,Near Threatened
Pygmy Marmoset,South America,6-7,Least Concern
Tamarin,South America,10-12,Least Concern
Mouflon,Western Asia,10-12,Least Concern
Jaguar,Central America,12-15,Near Threatened
Pygmy Owl,South America,10-15,Least Concern
Bison,South America,15-25,Near Threatened
Red Deer,Western Europe,15-25,Least Concern
Lesser Panda,Southern Asia,8-12,Endangered
American Antelope,Northern America,10-15,Least Concern
Binturong,Southern Asia,20-25,Near Threatened
Vulture,Middle Africa,10-15,Near Threatened
Sumatran Tiger,Southern Asia,10-15,Endangered
Golden Jackal,South Eastern Asia,10-14,Least Concern
Kingfisher,Australia and New Zealand,10-15,Least Concern
African Wild Dog,Eastern Africa,6-10,Endangered
Tuatara,Australia and New Zealand,60-100,Least Concern
Raccoon,Northern America,2-3,Least Concern
Javelina,Northern America,10-15,Least Concern
Kea,Australia and New Zealand,20-25,Endangered
Mountain Zebra,Eastern Africa,20-30,Least Concern
Gibbon,South Eastern Asia,20-30,Endangered
Reindeer,Northern Europe,15-20,Least Concern
Andean Condor,South America,50-60,Near Threatened
White Rhinoceros,Eastern Africa,40-50,Near Threatened
Sunda Pangolin,South Eastern Asia,10-15,Endangered
Dhole,Central Asia,10-12,Endangered
Buffalo,Western Africa,10-20,Least Concern
Minke Whale,Western Europe,50-60,Least Concern
Armadillo,South America,7-8,Least Concern
Meerkat,Southern Africa,6-8,Least Concern
Tuatara,Australia and New Zealand,60-100,Least Concern
Quokka,Australia and New Zealand,10-15,Least Concern
Killer Whale,South America,30-50,Least Concern
Pika,Northern America,3-7,Least Concern
Gibbon,Central Asia,20-25,Endangered
Cottontail Rabbit,Northern America,3-6,Least Concern
Caribou,Northern America,15-20,Least Concern
Green Sea Turtle,Western Africa,60-80,Endangered
Patagonian Mara,South America,10-15,Near Threatened
Lesser Kestrel,Western Europe,10-15,Near Threatened
Pronghorn,Northern America,10-15,Least Concern
Southern Right Whale,South America,60-70,Least Concern
Yellow-eyed Penguin,Australia and New Zealand,15-20,Endangered
Binturong,South Eastern Asia,20-25,Near Threatened
Crested Ibis,South Eastern Asia,15-20,Endangered
Hedgehog,South Eastern Asia,3-5,Least Concern
Whale Shark,South America,70-100,Endangered
Asian Wild Dog,South Eastern Asia,8-10,Endangered
Eastern Grey Kangaroo,Australia and New Zealand,8-12,Least Concern
Tamaraw,South Eastern Asia,15-20,Critically Endangered
Crocodile,Australia and New Zealand,50-70,Least Concern
Water Buffalo,Southern Asia,25-30,Least Concern
Pygmy Hippo,Western Africa,25-30,Endangered
Greenland Shark,Northern Europe,400-500,Least Concern
Red-backed Shrike,Western Europe,10-12,Least Concern
Springbok,Eastern Africa,10-15,Least Concern
Eurasian Eagle Owl,Western Europe,20-25,Least Concern
Scimitar-horned Oryx,Middle Africa,20-25,Extinct in the Wild
African Elephant,Eastern Africa,60-70,Vulnerable
American Bison,Northern America,20-25,Near Threatened
African Lion,Eastern Africa,10-14,Endangered
Gorilla,Middle Africa,35-40,Endangered
King Cobra,Southern Asia,20-25,Least Concern
Komodo Dragon,South Eastern Asia,20-30,Endangered
Greenland Whale,Northern Europe,50-100,Least Concern
Coyote,Northern America,10-14,Least Concern
Saltwater Crocodile,Australia and New Zealand,70-100,Least Concern
Red Kangaroo,Australia and New Zealand,8-12,Least Concern
Bengal Tiger,Southern Asia,10-15,Endangered
Jaguar,South America,12-15,Near Threatened
Pygmy Elephant,Southern Asia,50-60,Endangered
Zebra,Eastern Africa,25-30,Least Concern
Tasmanian Tiger,Australia and New Zealand,5-6,Extinct
Koala,Australia and New Zealand,10-12,Endangered
Ocelot,South America,7-10,Least Concern
Snow Leopard,Central Asia,10-15,Endangered
Spiny Anteater,Southern Asia,14-16,Least Concern
Numbat,Australia and New Zealand,5-6,Endangered
Giraffe,Eastern Africa,25-30,Least Concern
Scimitar-horned Oryx,Middle Africa,15-20,Extinct in the Wild
Wild Boar,Western Europe,10-15,Least Concern
Capuchin Monkey,South America,15-20,Least Concern
Wombat,Australia and New Zealand,5-15,Least Concern
Hippopotamus,Eastern Africa,40-50,Vulnerable
Muskox,Northern Europe,20-25,Least Concern
Harpy Eagle,South America,25-30,Near Threatened
Mandrill,Middle Africa,40-45,Near Threatened
Marmot,Northern America,10-15,Least Concern
Red Fox,Western Europe,3-5,Least Concern
Mountain Gorilla,Middle Africa,35-40,Endangered
Yellowtail Snapper,Caribbean,5-8,Least Concern
Rattlesnake,Northern America,10-15,Least Concern
Quail,Western Europe,3-5,Least Concern
Panda,Eastern Asia,20-25,Endangered
Black Rhinoceros,Eastern Africa,30-40,Critically Endangered
Black Swan,Australia and New Zealand,10-15,Least Concern
Great White Shark,Southern Africa,30-40,Least Concern
Manta Ray,Southern Asia,15-20,Near Threatened
Cheetah,Southern Africa,10-12,Vulnerable
Indian Rhinoceros,Southern Asia,40-50,Greater One-Horned
Peafowl,Southern Asia,15-20,Least Concern
Indian Cobra,Southern Asia,20-25,Least Concern
Pygmy Hippopotamus,Western Africa,25-30,Endangered
Siberian Tiger,Central Asia,15-20,Endangered
Ring-tailed Lemur,Middle Africa,20-25,Endangered
Sable Antelope,Southern Africa,10-15,Least Concern
Guanaco,South America,15-20,Least Concern
Golden Eagle,Western Europe,20-25,Least Concern
Buffalo,Northern America,15-20,Least Concern
Turtle,Australia and New Zealand,50-70,Least Concern
Crow,Western Europe,10-15,Least Concern
Bison,Northern America,10-20,Least Concern
Spotted Hyena,Eastern Africa,20-25,Least Concern
Snowy Owl,Northern America,10-15,Least Concern
Gibbon,South Eastern Asia,25-30,Endangered
Bison,South America,10-15,Near Threatened
Common Loon,Northern America,15-25,Least Concern
Flamingo,South America,15-20,Least Concern
Orangutan,South Eastern Asia,30-40,Endangered
Mountain Lion,Northern America,10-15,Least Concern
Sea Lion,Australia and New Zealand,15-20,Least Concern
Lynx,South Eastern Asia,10-12,Least Concern
Muntjac,South Eastern Asia,10-15,Least Concern
Crocodile,Australia and New Zealand,70-100,Least Concern
White Rhinoceros,Southern Africa,40-50,Near Threatened
Pigeon,Western Europe,3-5,Least Concern
Hornbill,Southern Asia,20-30,Least Concern
Golden Poison Dart Frog,Central America,6-10,Least Concern
African Wild Dog,Eastern Africa,6-10,Endangered
Lynx,Western Europe,10-15,Least Concern
Bat,South America,5-10,Least Concern
Arctic Fox,Northern Europe,5-10,Least Concern
Mountain Zebra,Southern Africa,20-30,Least Concern
Mandrill,Middle Africa,40-45,Near Threatened
Andean Condor,South America,50-60,Near Threatened
Macaw,South America,30-50,Near Threatened
Pangolin,Southern Asia,20-25,Endangered
Harbor Seal,Northern Europe,20-30,Least Concern
Kangaroo Rat,Northern America,3-5,Least Concern
Mountain Goat,Northern America,12-15,Least Concern
Vulture,Middle Africa,10-15,Near Threatened
Hippopotamus,Eastern Africa,40-50,Vulnerable
Coyote,Northern America,10-15,Least Concern
Emu,Australia and New Zealand,10-15,Least Concern
Peregrine Falcon,Northern America,15-20,Least Concern
Red-tailed Hawk,Northern America,20-25,Least Concern
Mole,Eastern Europe,3-5,Least Concern
Manatee,South America,30-40,Vulnerable
Swan,Western Europe,10-15,Least Concern
Red Deer,Western Europe,15-25,Least Concern
Whale,South America,60-100,Least Concern
Saltwater Crocodile,Melanesia,70-100,Least Concern
Flying Fox,Melanesia,10-15,Endangered
Green Sea Turtle,Melanesia,50-70,Vulnerable
Pygmy Coconut Crab,Micronesia,10-15,Least Concern
Micronesian Kingfisher,Micronesia,6-8,Endangered
Polynesian Rat,Polynesia,2-3,Least Concern
Humpback Whale,Polynesia,45-50,Least Concern
Polynesian Starling,Polynesia,10-15,Least Concern
Sea Turtle,Polynesia,50-70,Endangered
Manta Ray,Polynesia,15-20,Near Threatened
Iberian Lynx,Southern Europe,13-15,Critically Endangered
Spanish Imperial Eagle,Southern Europe,20-25,Endangered
Mediterranean Monk Seal,Southern Europe,20-25,Critically Endangered
European Wildcat,Southern Europe,10-15,Least Concern
Red-legged Partridge,Southern Europe,6-8,Least Concern
European Otter,Southern Europe,10-12,Near Threatened
Brown Bear,Southern Europe,25-30,Least Concern
Corsican Nuthatch,Southern Europe,10-12,Endangered
Mouflon,Southern Europe,10-15,Least Concern
Cork Oak,Southern Europe,30-60,Least Concern